id_aeropuerto;nombre_aeropuerto;id_ciudad
JAC;JACKSON HOLE;273
ADB;ADNAN MENDERES;274
ITH;TOMPKINS REGIONAL;275
AXA;AEROPUERTO INTERNACIONAL CLAYTON J. LLOYD;276
IQT;CORONEL FAP FRANCISCO SECADA VIGNET;277
DSM;AEROPUERTO INTERNACIONAL DE DES MOINES;278
A01;CAMPO ALEGRE;279
EVV;DRESS MEMORIAL;280
IND;INDIANAPOLIS INTERNATIONAL;280
ICN;INTERNATIONAL INCHEON;281
BMI;NORMAL;282
MLI;QUAD CITY;282
IGR;CATARATAS DEL IGUAZU;283
BOI;GOWEN FLD;284
IBE;PERALES;285
PPT;POTRERITO;285
HOU;GEORGE BUSH INTCNTL HOUSTON;286
IAH;WILLAM P HOBBY TX;286
HNL;OAHU, HI;287
HKG;CHEK LAP KOK;288
HAJ;HANNOVER;289
HAM;FUHLSBUETTEL;290
HAV;JOSE MARTI INTL;291
GPT;BILOXP;292
GYE;SIMON BOLIVAR;293
GPI;GUAPI - JUAN CASIANO;295
GUM;GUAM AGANA;296
BMG;BARRANCOMINAS;297
GDL;DON MIGUEL HIDALGO Y COSTILLA INTL;298
GRB;AUSTIN STRAUBEL INTL;299
GGT;EXUMA INTERNATIONAL AIRPORT;300
GND;MAURICE BISHOP;301
CRK;CLARK INTL;302
FAO;FARO AIRPORT;302
GCM;GRAND CAYMAN ( CITY );303
GLA;GLASGOW INTERNATIONAL;304
SAV;HILTON HEAD INTERNATIONAL;305
AGS;AUGUSTA;305
GEO;TIMERHI;306
GVA;SESTRI;307
GNV;JR ALISON;308
FTE;CAÑO BLANCO;309
FAT;FRESNO YOSEMITE INTL;310
FRA;FRANKFURT MAIN;311
FWA;FORT WAYNE;312
FSM;FORT SMITH;313
FLL;FORT LAUDERDALE HOLLYWOOD INTL;314
OPF;OPA LOCKA;315
EYW;KEY WEST INTL;315
JAX;JACKSONVILLE INTERNAL AIRPORT;315
TLH;REGIONAL;315
RSW;SOUTHWEST;315
SRQ;SARASOTA BRADENTON;315
VPS;DESTIN-FT WALTON BEACH;315
MLB;MELBOURNE ORLANDO INTL;315
GTK;TIKAL INTERNATIONAL FLORES;316
FLA;GUSTAVO ARTUNDUAGA PAREDES;317
GIR;SANTIAGO VILA;318
SCY;SAN JERONIMO;318
FAY;FAYETTVILLE INTER;319
FAR;HECTOR INTL;321
EZE;MINISTRO PISTARINI;322
ARN;ARLAND;323
IST;ISTANBUL AIRPORT;324
SAW;AEROPUERTO INTERNACIONAL SABIHA GÖK;324
EBB;ENTEBBE INTL.;325
YHZ;HALIFAX INTL. N. S.;326
EYP;EL YOPAL;327
CHA;CHICORAL ESTRA;328
A06;EL ENCANTO;329
LMN;LOS MULATOS;330
EBG;EL BAGRE;331
IBZ;IBIZA;332
EDI;EDINBURGH AIRPORT;333
DLH;DULUTH INTL;335
DBV;DUBROVNIK;336
DUB;DUBLIN;337
DXB;INTERNATIONAL DUBAI;338
DHN;DOTHAN REG. AIRPORT;339
DTW;WAYNE COUNTY;340
DRB;" 	DERBY AIRPORT";341
DAY;JAMES COX;342
DAV;ENRIQUE MALEK;343
